Page ID,Title,URL,Provincie,ADRESSE,API_STATUS,QUERY_USED,ERROR_MESSAGE,LAT,LNG,GEO_STATUS,GEO_ERROR
106,Kasteel claeys bouuaert,https://kastelenbelgie.be/nl/kasteel-claeys-bouuaert-mariakerke/,Antwerpen,"Kasteeldreef 2/6, 9030 Gent, België",OK,"Kasteel claeys bouuaert, Antwerpen, België",,51.0760977,3.674570299999999,OK,
105,Kasteel van villers schoten,https://kastelenbelgie.be/nl/kasteel-van-villers-schoten/,Luxemburg,"Villerslei 135, 2900 Schoten, België",OK,"Kasteel van villers schoten, Luxemburg, België",,51.2510622,4.523113599999999,OK,
104,Kasteel van blekkom,https://kastelenbelgie.be/nl/kasteel-van-blekkom-loksbergen/,Luxemburg,"Lindestraat 124, 3545 Halen, België",OK,"Kasteel van blekkom, Luxemburg, België",,50.92165720000001,5.0731281,OK,
103,Kasteel de pelichy,https://kastelenbelgie.be/nl/kasteel-de-pelichy-gent/,Luxemburg,België,OK,"Kasteel de pelichy, Luxemburg, België",,50.503887,4.469936,OK,
102,Hof van ringen,https://kastelenbelgie.be/nl/hof-van-ringen-lier/,Henegouwen,"Unnamed Road, 2500 Lier, België",OK,"Hof van ringen, Henegouwen, België",,51.1208918,4.5911588,OK,
101,Kasteel slotendries,https://kastelenbelgie.be/nl/kasteel-slotendries-oostakker/,Namen,"Onze Lieve Vrouwdreef 8, 9041 Gent, België",OK,"Kasteel slotendries, Namen, België",,51.0824308,3.7631083,OK,
100,Vrieselhof,https://kastelenbelgie.be/nl/vrieselhof-oelegem/,Antwerpen,"Schildesteenweg 99, 2520 Ranst, België",OK,"Vrieselhof, Antwerpen, België",,51.21953999999999,4.6065337,OK,
99,Kasteel marnix de sainte aldegonde,https://kastelenbelgie.be/nl/kasteel-marnix-de-sainte-aldegonde-bornem/,Henegouwen,"Kasteelstraat 35, 2880 Bornem, België",OK,"Kasteel marnix de sainte aldegonde, Henegouwen, België",,51.10163,4.21911,OK,
98,Kasteel lhirondelle,https://kastelenbelgie.be/nl/kasteel-lhirondelle-oteppe/,Namen,"Namen, België",OK,"Kasteel lhirondelle, Namen, België",,50.46493340000001,4.864973099999999,OK,
97,Kasteel van Mirwart,https://kastelenbelgie.be/nl/kasteel-van-mirwart-mirwart-saint-hubert/,Luxemburg,"Rue du Château 29, 6870 Saint-Hubert, België",OK,"Kasteel van Mirwart, Luxemburg, België",,50.0543829,5.2577869,OK,
96,Waterburcht millen,https://kastelenbelgie.be/nl/waterburcht-millen-millen-te-riemst/,Luxemburg,"Kattestraat 22, 3770 Riemst, België",OK,"Waterburcht millen, Luxemburg, België",,50.7861006,5.5588532,OK,
95,Kasteel van weillen,https://kastelenbelgie.be/nl/kasteel-van-weillen-weilen/,Namen,"Rue du Château 8, 5580 Rochefort, België",OK,"Kasteel van weillen, Namen, België",,50.1156176,5.0923384,OK,
94,De hof van riemen,https://kastelenbelgie.be/nl/de-hof-van-riemen-heist-op-den-berg/,Antwerpen,"Orshagenstraat 11, 2220 Heist-op-den-Berg, België",OK,"De hof van riemen, Antwerpen, België",,51.0691335,4.729837300000001,OK,
93,Kastelen in Antwerpen,https://kastelenbelgie.be/nl/kastelen-antwerpen/,-,,SKIPPED_INDEX,,,,,NO_ADDRESS,
92,Kastelen in Henegouwen,https://kastelenbelgie.be/nl/kastelen-henegouwen/,-,,SKIPPED_INDEX,,,,,NO_ADDRESS,
91,Kastelen in Namen,https://kastelenbelgie.be/nl/kastelen-namen/,-,,SKIPPED_INDEX,,,,,NO_ADDRESS,
90,Kaart,https://kastelenbelgie.be/nl/kaart/,-,België,OK,"Kaart, -, België",,50.503887,4.469936,OK,
13,Home,https://kastelenbelgie.be/,-,België,OK,"Home, -, België",,50.503887,4.469936,OK,
