Page ID,Title,URL,Provincie,PLACE_ID,NAME_FOUND,FORMATTED_ADDRESS,TYPES,BUSINESS_STATUS,OPEN_NOW,OPENING_HOURS_TEXT,MON,TUE,WED,THU,FRI,SAT,SUN,CAN_VISIT,API_STATUS,ERROR_MESSAGE,QUERY_USED,SOURCE
224,Kasteel van Wippelgem,https://kastelenbelgie.be/nl/kasteel-van-wippelgem-wippelgem/,Antwerpen,ChIJTa0OhGt6w0cRXzmFZN-63NM,"Kasteel van Wippelgem ""Goed Ten Hulle""","Kramershoek 4, 9940 Evergem","establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel van Wippelgem, Antwerpen, België",GOOGLE_PLACES
223,Domein de ghellinck,https://kastelenbelgie.be/nl/domein-de-ghellinck-elsegem/,Antwerpen,ChIJSznV7MAQw0cRvmbL2mIRzj8,Domein De Ghellinck,"Kortrijkstraat 102, 9790 Wortegem-Petegem","establishment,park,point_of_interest",OPERATIONAL,TRUE,maandag: 11:45–21:00 | dinsdag: 11:45–21:00 | woensdag: 11:45–21:00 | donderdag: 11:45–21:00 | vrijdag: 11:45–21:00 | zaterdag: 11:45–21:00 | zondag: 11:45–21:00,11:45–21:00,11:45–21:00,11:45–21:00,11:45–21:00,11:45–21:00,11:45–21:00,11:45–21:00,yes,OK,,"Domein de ghellinck, Antwerpen, België",GOOGLE_PLACES
222,Kasteel vogelsanck,https://kastelenbelgie.be/nl/kasteel-vogelsanck-te-zolder-gemeente-heusden-zolder/,Antwerpen,ChIJN_ghcz8kwUcRO-X-ImKPqHo,Kasteel Vogelsanck,"3520, Zonhoven","establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel vogelsanck, Antwerpen, België",GOOGLE_PLACES
221,Kasteel de renesse,https://kastelenbelgie.be/nl/kasteel-de-renesse-oostmalle/,Antwerpen,ChIJ3R8HbFGqxkcRcgLVhBdJKlM,Kasteel de Renesse,"Lierselei 30, 2390 Malle","establishment,point_of_interest",OPERATIONAL,FALSE,maandag: 13:00–18:00 | dinsdag: Gesloten | woensdag: Gesloten | donderdag: Gesloten | vrijdag: Gesloten | zaterdag: Gesloten | zondag: 13:00–18:00,13:00–18:00,Gesloten,Gesloten,Gesloten,Gesloten,Gesloten,13:00–18:00,yes,OK,,"Kasteel de renesse, Antwerpen, België",GOOGLE_PLACES
220,Kasteel stas de richelle,https://kastelenbelgie.be/nl/kasteel-stas-de-richelle-heusden/,Vlaams-Brabant,ChIJeW2RdeR1w0cRoptif6szo6o,Kasteeldomein Stas De Richelle,"Veerdreef 2/4, 9070 Destelbergen","establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel stas de richelle, Vlaams-Brabant, België",GOOGLE_PLACES
219,Kasteel ommerstein,https://kastelenbelgie.be/nl/kasteel-ommerstein-te-rotem-bij-dilsen/,Vlaams-Brabant,ChIJR48OgGfPwEcRDVUZtfOJtCk,Kasteel Ommerstein,"de Schiervellaan 1, 3650 Dilsen-Stokkem","establishment,point_of_interest,tourist_attraction",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel ommerstein, Vlaams-Brabant, België",GOOGLE_PLACES
218,Kasteel van saffelberg,https://kastelenbelgie.be/nl/kasteel-van-saffelberg-gooik/,Vlaams-Brabant,ChIJC3LeNJi5w0cRiIgXn6TIAgM,Saffelberg Investments,"Oplombeekstraat 6, 1755 Pajottegem","establishment,finance,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Kasteel van saffelberg, Vlaams-Brabant, België",GOOGLE_PLACES
217,Waterkasteel van schoonbeek,https://kastelenbelgie.be/nl/waterkasteel-van-schoonbeek-te-beverst-gemeente-bilzen/,Antwerpen,ChIJy1pPXczfwEcRZIqM4Ft9r-M,Kasteel van Schoonbeek,"Waterkasteelstraat, 3740 Bilzen-Hoeselt","establishment,point_of_interest",OPERATIONAL,,,,,,,,,,yes,OK,,"Waterkasteel van schoonbeek, Antwerpen, België",GOOGLE_PLACES
216,Kasteel van coloma,https://kastelenbelgie.be/nl/kasteel-van-coloma-te-sint-pieters-leeuw/,Antwerpen,ChIJpbhOVC3Gw0cR5qm-1h6ghxA,Domein Coloma,"Joseph Depauwstraat 25, 1600 Sint-Pieters-Leeuw","establishment,point_of_interest,tourist_attraction",OPERATIONAL,TRUE,maandag: Gesloten | dinsdag: 10:00–20:00 | woensdag: 10:00–20:00 | donderdag: 10:00–20:00 | vrijdag: 10:00–20:00 | zaterdag: 10:00–20:00 | zondag: 10:00–20:00,Gesloten,10:00–20:00,10:00–20:00,10:00–20:00,10:00–20:00,10:00–20:00,10:00–20:00,yes,OK,,"Kasteel van coloma, Antwerpen, België",GOOGLE_PLACES
214,Kasteel wittouck,https://kastelenbelgie.be/nl/kasteel-wittouck-sint-pieters-leeuw/,Namen,ChIJ7z5B_5eZwUcRW_wQz_37F7A,Château de La Vecquée,"Av. de la Vecquée 21, 5000 Namur","establishment,point_of_interest",OPERATIONAL,FALSE,maandag: 09:00–17:00 | dinsdag: 09:00–17:00 | woensdag: 09:00–17:00 | donderdag: 09:00–17:00 | vrijdag: 09:00–17:00 | zaterdag: Gesloten | zondag: Gesloten,09:00–17:00,09:00–17:00,09:00–17:00,09:00–17:00,09:00–17:00,Gesloten,Gesloten,yes,OK,,"Kasteel wittouck, Namen, België",GOOGLE_PLACES
